번호,포켓몬,지정 이름,초기레벨,레벨,속성1,HP,공격,방어,스피드,성장공,성장체,성장방,진화레벨
1,이상해씨,이상해씨,1,1,풀,45,49,49,45,6,6,6,15
2,이상해풀,이상해풀,1,1,풀,60,62,63,60,7,7,7,30
3,이상해꽃,이상해꽃,1,1,풀,80,82,83,80,8,8,8,-1
4,파이리,파이리,1,1,불꽃,39,52,43,65,6,6,6,15
5,리자드,리자드,1,1,불꽃,58,64,58,80,7,7,7,30
6,리자몽,리자몽,1,1,불꽃,78,84,78,100,8,8,8,-1
7,꼬부기,꼬부기,1,1,물,44,48,65,52,6,6,6,15
8,어니부기,어니부기,1,1,물,59,63,80,68,7,7,7,30
9,거북왕,거북왕,1,1,물,79,83,100,88,8,8,8,-1
10,캐터피,캐터피,1,1,벌레,45,30,35,45,6,6,6,15
11,단데기,단데기,1,1,벌레,50,20,55,30,7,7,7,30
12,버터플,버터플,1,1,벌레,60,45,50,70,8,8,8,-1
13,뿔충이,뿔충이,1,1,벌레,40,35,30,50,6,6,6,15
14,딱충이,딱충이,1,1,벌레,45,25,50,35,7,7,7,30
15,독침붕,독침붕,1,1,벌레,65,80,40,75,8,8,8,-1
16,구구,구구,1,1,노말,40,45,40,56,6,6,6,15
17,피죤,피죤,1,1,노말,63,60,55,17,7,7,7,30
18,피죤투,피죤투,1,1,노말,83,80,75,101,8,8,8,-1
19,꼬렛,꼬렛,1,1,노말,30,56,35,72,6,6,6,15
20,레트라,레트라,1,1,노말,55,81,60,97,7,7,7,-1
21,깨비참,깨비참,1,1,노말,40,60,30,70,6,6,6,15
22,깨비드릴조,깨비드릴조,1,1,노말,65,90,65,700,7,7,7,-1
23,아보,아보,1,1,독,35,60,44,55,6,6,6,15
24,아보크,아보크,1,1,독,60,85,69,20,7,7,7,-1
25,피카츄,피카츄,1,1,전기,35,55,40,90,7,7,7,15
26,라이츄,라이츄,1,1,전기,60,90,55,100,6,6,6,-1
27,모래두지,모래두지,1,1,땅,50,75,85,40,7,7,7,15
28,고지,고지,1,1,땅,75,100,110,65,7,7,7,-1
29,니드런♀,니드런♀,1,1,독,55,47,52,41,6,6,6,15
30,니드리나,니드리나,1,1,독,70,62,67,56,7,7,7,30
31,니드퀸,니드퀸,1,1,독,90,92,87,76,8,8,8,-1
32,니드런♂,니드런♂,1,1,독,46,57,40,50,6,6,6,15
33,니드리노,니드리노,1,1,독,61,72,57,65,7,7,7,30
34,니드킹,니드킹,1,1,독,81,102,77,85,8,8,8,-1
35,삐삐,삐삐,1,1,페어리,70,45,48,35,6,6,6,15
36,픽시,픽시,1,1,페어리,95,70,73,60,7,7,7,-1
37,식스테일,식스테일,1,1,불꽃,38,41,40,65,6,6,6,15
38,나인테일,나인테일,1,1,불꽃,73,76,75,100,7,7,7,-1
39,푸린,푸린,1,1,노말,115,45,20,20,6,6,6,15
40,푸크린,푸크린,1,1,노말,140,70,45,45,7,7,7,-1
41,주뱃,주뱃,1,1,독,40,45,35,55,6,6,6,15
42,골뱃,골뱃,1,1,독,75,80,70,90,7,7,7,-1
43,뚜벅쵸,뚜벅쵸,1,1,풀,45,50,55,30,6,6,6,15
44,냄새꼬,냄새꼬,1,1,풀,60,65,70,40,7,7,7,30
45,라플레시아,라플레시아,1,1,풀,75,80,85,50,8,8,8,-1
46,파라스,파라스,1,1,벌레,35,70,55,25,6,6,6,15
47,파라섹트,파라섹트,1,1,벌레,60,95,80,30,7,7,7,-1
48,콘팡,콘팡,1,1,벌레,60,55,50,45,6,6,6,15
49,도나리,도나리,1,1,벌레,70,65,60,90,7,7,7,-1
50,디그다,디그다,1,1,땅,10,55,25,95,6,6,6,15
51,닥트리오,닥트리오,1,1,땅,35,80,50,120,7,7,7,-1
52,나옹,나옹,1,1,노말,40,45,35,90,6,6,6,15
53,페르시온,페르시온,1,1,노말,65,70,60,115,7,7,7,-1
54,고라파덕,고라파덕,1,1,물,100,122,96,130,6,6,6,15
55,골덕,골덕,1,1,물,160,191,163,140,7,7,7,-1
56,망키,망키,1,1,격투,40,80,35,70,6,6,6,15
57,성원숭,성원숭,1,1,격투,65,105,60,95,7,7,7,-1
58,가디,가디,1,1,불꽃,55,70,45,60,6,6,6,15
59,윈디,윈디,1,1,불꽃,90,110,80,95,7,7,7,-1
